device_code,device_name_full,device_name_without_network_type,device_generation,product_line,product_type,manufacturer,platform
i386,iPhone Simulator,iPhone Simulator,iPhone Simulator,iPhone,phone,Apple,iOS
x86_64,iPhone Simulator,iPhone Simulator,iPhone Simulator,iPhone,phone,Apple,iOS
arm64,iPhone Simulator,iPhone Simulator,iPhone Simulator,iPhone,phone,Apple,iOS
"iPhone1,1",iPhone,iPhone,iPhone,iPhone,phone,Apple,iOS
"iPhone1,2",iPhone 3G,iPhone 3G,iPhone 3G,iPhone,phone,Apple,iOS
"iPhone2,1",iPhone 3GS,iPhone 3GS,iPhone 3GS,iPhone,phone,Apple,iOS
"iPhone3,1",iPhone 4,iPhone 4,iPhone 4,iPhone,phone,Apple,iOS
"iPhone3,2",iPhone 4 GSM Rev A,iPhone 4,iPhone 4,iPhone,phone,Apple,iOS
"iPhone3,3",iPhone 4 CDMA,iPhone 4,iPhone 4,iPhone,phone,Apple,iOS
"iPhone4,1",iPhone 4S,iPhone 4S,iPhone 4S,iPhone,phone,Apple,iOS
"iPhone5,1",iPhone 5 (GSM),iPhone 5 ,iPhone 5 ,iPhone,phone,Apple,iOS
"iPhone5,2",iPhone 5 (GSM+CDMA),iPhone 5 ,iPhone 5 ,iPhone,phone,Apple,iOS
"iPhone5,3",iPhone 5C (GSM),iPhone 5C ,iPhone 5C ,iPhone,phone,Apple,iOS
"iPhone5,4",iPhone 5C (Global),iPhone 5C ,iPhone 5C ,iPhone,phone,Apple,iOS
"iPhone6,1",iPhone 5S (GSM),iPhone 5S ,iPhone 5S ,iPhone,phone,Apple,iOS
"iPhone6,2",iPhone 5S (Global),iPhone 5S ,iPhone 5S ,iPhone,phone,Apple,iOS
"iPhone7,1",iPhone 6 Plus,iPhone 6 Plus,iPhone 6 Plus,iPhone,phone,Apple,iOS
"iPhone7,2",iPhone 6,iPhone 6,iPhone 6,iPhone,phone,Apple,iOS
"iPhone8,1",iPhone 6s,iPhone 6s,iPhone 6s,iPhone,phone,Apple,iOS
"iPhone8,2",iPhone 6s Plus,iPhone 6s Plus,iPhone 6s Plus,iPhone,phone,Apple,iOS
"iPhone8,4",iPhone SE (GSM),iPhone SE ,iPhone SE ,iPhone,phone,Apple,iOS
"iPhone9,1",iPhone 7,iPhone 7,iPhone 7,iPhone,phone,Apple,iOS
"iPhone9,2",iPhone 7 Plus,iPhone 7 Plus,iPhone 7 Plus,iPhone,phone,Apple,iOS
"iPhone9,3",iPhone 7,iPhone 7,iPhone 7,iPhone,phone,Apple,iOS
"iPhone9,4",iPhone 7 Plus,iPhone 7 Plus,iPhone 7 Plus,iPhone,phone,Apple,iOS
"iPhone10,1",iPhone 8,iPhone 8,iPhone 8,iPhone,phone,Apple,iOS
"iPhone10,2",iPhone 8 Plus,iPhone 8 Plus,iPhone 8 Plus,iPhone,phone,Apple,iOS
"iPhone10,3",iPhone X Global,iPhone X,iPhone X,iPhone,phone,Apple,iOS
"iPhone10,4",iPhone 8,iPhone 8,iPhone 8,iPhone,phone,Apple,iOS
"iPhone10,5",iPhone 8 Plus,iPhone 8 Plus,iPhone 8 Plus,iPhone,phone,Apple,iOS
"iPhone10,6",iPhone X GSM,iPhone X,iPhone X,iPhone,phone,Apple,iOS
"iPhone11,2",iPhone XS,iPhone XS,iPhone XS,iPhone,phone,Apple,iOS
"iPhone11,4",iPhone XS Max,iPhone XS Max,iPhone XS Max,iPhone,phone,Apple,iOS
"iPhone11,6",iPhone XS Max Global,iPhone XS Max,iPhone XS Max,iPhone,phone,Apple,iOS
"iPhone11,8",iPhone XR,iPhone XR,iPhone XR,iPhone,phone,Apple,iOS
"iPhone12,1",iPhone 11,iPhone 11,iPhone 11,iPhone,phone,Apple,iOS
"iPhone12,3",iPhone 11 Pro,iPhone 11 Pro,iPhone 11 Pro,iPhone,phone,Apple,iOS
"iPhone12,5",iPhone 11 Pro Max,iPhone 11 Pro Max,iPhone 11 Pro Max,iPhone,phone,Apple,iOS
"iPhone12,8",iPhone SE 2nd Gen,iPhone SE 2nd Gen,iPhone SE 2nd Gen,iPhone,phone,Apple,iOS
"iPhone13,1",iPhone 12 Mini,iPhone 12 Mini,iPhone 12 Mini,iPhone,phone,Apple,iOS
"iPhone13,2",iPhone 12,iPhone 12,iPhone 12,iPhone,phone,Apple,iOS
"iPhone13,3",iPhone 12 Pro,iPhone 12 Pro,iPhone 12 Pro,iPhone,phone,Apple,iOS
"iPhone13,4",iPhone 12 Pro Max,iPhone 12 Pro Max,iPhone 12 Pro Max,iPhone,phone,Apple,iOS
"iPod1,1",iPod 1st Gen,iPod 1st Gen,iPod 1st Gen,iPod,,Apple,iOS
"iPod2,1",iPod 2nd Gen,iPod 2nd Gen,iPod 2nd Gen,iPod,,Apple,iOS
"iPod3,1",iPod 3rd Gen,iPod 3rd Gen,iPod 3rd Gen,iPod,,Apple,iOS
"iPod4,1",iPod 4th Gen,iPod 4th Gen,iPod 4th Gen,iPod,,Apple,iOS
"iPod5,1",iPod 5th Gen,iPod 5th Gen,iPod 5th Gen,iPod,,Apple,iOS
"iPod7,1",iPod 6th Gen,iPod 6th Gen,iPod 6th Gen,iPod,,Apple,iOS
"iPod9,1",iPod 7th Gen,iPod 7th Gen,iPod 7th Gen,iPod,,Apple,iOS
"iPad1,1",iPad,iPad,iPad,iPad,tablet,Apple,iOS
"iPad1,2",iPad 3G,iPad 3G,iPad 3G,iPad,tablet,Apple,iOS
"iPad2,1",iPad 2nd Gen,iPad 2nd Gen,iPad 2nd Gen,iPad,tablet,Apple,iOS
"iPad2,2",iPad 2nd Gen GSM,iPad 2nd Gen,iPad 2nd Gen,iPad,tablet,Apple,iOS
"iPad2,3",iPad 2nd Gen CDMA,iPad 2nd Gen,iPad 2nd Gen,iPad,tablet,Apple,iOS
"iPad2,4",iPad 2nd Gen New Revision,iPad 2nd Gen,iPad 2nd Gen,iPad,tablet,Apple,iOS
"iPad3,1",iPad 3rd Gen,iPad 3rd Gen,iPad 3rd Gen,iPad,tablet,Apple,iOS
"iPad3,2",iPad 3rd Gen CDMA,iPad 3rd Gen,iPad 3rd Gen,iPad,tablet,Apple,iOS
"iPad3,3",iPad 3rd Gen GSM,iPad 3rd Gen,iPad 3rd Gen,iPad,tablet,Apple,iOS
"iPad2,5",iPad mini,iPad mini,iPad mini,iPad,tablet,Apple,iOS
"iPad2,6",iPad mini GSM+LTE,iPad mini,iPad mini,iPad,tablet,Apple,iOS
"iPad2,7",iPad mini CDMA+LTE,iPad mini,iPad mini,iPad,tablet,Apple,iOS
"iPad3,4",iPad 4th Gen,iPad 4th Gen,iPad 4th Gen,iPad,tablet,Apple,iOS
"iPad3,5",iPad 4th Gen GSM+LTE,iPad 4th Gen,iPad 4th Gen,iPad,tablet,Apple,iOS
"iPad3,6",iPad 4th Gen CDMA+LTE,iPad 4th Gen,iPad 4th Gen,iPad,tablet,Apple,iOS
"iPad4,1",iPad Air (WiFi),iPad Air ,iPad Air ,iPad,tablet,Apple,iOS
